epoch	time	train_nll	train_acc	valid_nll	valid_acc	test_nll	test_acc
292	19134	1.6329	0.82722	0.0000	0.00000	1.5955	0.86500
293	19176	1.6337	0.82712	0.0000	0.00000	1.5918	0.86850
294	19218	1.6338	0.82670	0.0000	0.00000	1.5926	0.86820
295	19261	1.6346	0.82592	0.0000	0.00000	1.5909	0.86960
296	19303	1.6359	0.82464	0.0000	0.00000	1.5927	0.86830
297	19345	1.6331	0.82780	0.0000	0.00000	1.5965	0.86400
298	19387	1.6323	0.82840	0.0000	0.00000	1.5931	0.86780
299	19430	1.6334	0.82742	0.0000	0.00000	1.5882	0.87240
300	19472	1.6335	0.82694	0.0000	0.00000	1.5915	0.86890
301	19514	1.6316	0.82948	0.0000	0.00000	1.5908	0.86960
302	19557	1.6307	0.82922	0.0000	0.00000	1.5859	0.87440
303	19599	1.6309	0.82952	0.0000	0.00000	1.5922	0.86870
304	19642	1.6302	0.83046	0.0000	0.00000	1.5883	0.87250
305	19684	1.6296	0.83094	0.0000	0.00000	1.5874	0.87270
306	19726	1.6325	0.82748	0.0000	0.00000	1.5900	0.87000
307	19769	1.6333	0.82690	0.0000	0.00000	1.5951	0.86520
308	19811	1.6308	0.82986	0.0000	0.00000	1.5961	0.86510
309	19853	1.6296	0.83052	0.0000	0.00000	1.5881	0.87260
310	19896	1.6294	0.83152	0.0000	0.00000	1.5888	0.87270
311	19938	1.6291	0.83118	0.0000	0.00000	1.5885	0.87190
312	19981	1.6303	0.83016	0.0000	0.00000	1.5873	0.87330
313	20023	1.6309	0.82952	0.0000	0.00000	1.5899	0.87110
314	20065	1.6300	0.82994	0.0000	0.00000	1.5901	0.87030
315	20108	1.6279	0.83294	0.0000	0.00000	1.5871	0.87270
316	20150	1.6287	0.83172	0.0000	0.00000	1.5884	0.87160
317	20192	1.6286	0.83206	0.0000	0.00000	1.5910	0.86940
318	20235	1.6275	0.83388	0.0000	0.00000	1.5870	0.87360
319	20277	1.6297	0.83022	0.0000	0.00000	1.5861	0.87340
320	20319	1.6269	0.83396	0.0000	0.00000	1.5847	0.87630
321	20362	1.6274	0.83336	0.0000	0.00000	1.5859	0.87540
322	20404	1.6299	0.83058	0.0000	0.00000	1.5894	0.87150
323	20447	1.6270	0.83362	0.0000	0.00000	1.5869	0.87340
324	20489	1.6287	0.83222	0.0000	0.00000	1.5889	0.87200
325	20531	1.6265	0.83348	0.0000	0.00000	1.5854	0.87620
326	20573	1.6274	0.83344	0.0000	0.00000	1.5853	0.87540
327	20616	1.6271	0.83342	0.0000	0.00000	1.5902	0.87090
328	20658	1.6257	0.83534	0.0000	0.00000	1.5866	0.87490
329	20700	1.6267	0.83424	0.0000	0.00000	1.5896	0.87090
330	20743	1.6249	0.83602	0.0000	0.00000	1.5915	0.86890
331	20785	1.6234	0.83740	0.0000	0.00000	1.5845	0.87630
332	20828	1.6238	0.83702	0.0000	0.00000	1.5872	0.87490
333	20870	1.6250	0.83576	0.0000	0.00000	1.5888	0.87130
334	20912	1.6246	0.83574	0.0000	0.00000	1.5853	0.87520
335	20955	1.6259	0.83498	0.0000	0.00000	1.5868	0.87400
336	20997	1.6259	0.83534	0.0000	0.00000	1.5883	0.87330
337	21039	1.6239	0.83680	0.0000	0.00000	1.5878	0.87310
338	21082	1.6249	0.83544	0.0000	0.00000	1.5873	0.87320
339	21124	1.6235	0.83716	0.0000	0.00000	1.5902	0.87120
340	21167	1.6268	0.83372	0.0000	0.00000	1.5825	0.87850
341	21209	1.6219	0.83864	0.0000	0.00000	1.5860	0.87410
342	21251	1.6221	0.83800	0.0000	0.00000	1.5842	0.87760
343	21294	1.6213	0.83904	0.0000	0.00000	1.5860	0.87520
344	21336	1.6194	0.84120	0.0000	0.00000	1.5850	0.87630
345	21379	1.6227	0.83804	0.0000	0.00000	1.5863	0.87390
346	21421	1.6215	0.83912	0.0000	0.00000	1.5866	0.87330
347	21464	1.6222	0.83838	0.0000	0.00000	1.5862	0.87440
348	21506	1.6219	0.83886	0.0000	0.00000	1.5862	0.87470
349	21548	1.6218	0.83888	0.0000	0.00000	1.5844	0.87630
350	21591	1.6208	0.84000	0.0000	0.00000	1.5841	0.87730
351	21633	1.6210	0.83968	0.0000	0.00000	1.5838	0.87630
352	21676	1.6235	0.83714	0.0000	0.00000	1.5863	0.87500
353	21718	1.6201	0.84064	0.0000	0.00000	1.5831	0.87790
354	21760	1.6225	0.83804	0.0000	0.00000	1.5879	0.87230
355	21803	1.6213	0.83912	0.0000	0.00000	1.5893	0.87110
356	21845	1.6221	0.83818	0.0000	0.00000	1.5828	0.87810
357	21888	1.6173	0.84320	0.0000	0.00000	1.5843	0.87610
358	21930	1.6209	0.83986	0.0000	0.00000	1.5823	0.87860
359	21973	1.6183	0.84272	0.0000	0.00000	1.5819	0.87950
360	22015	1.6196	0.84114	0.0000	0.00000	1.5824	0.87880
361	22058	1.6202	0.84036	0.0000	0.00000	1.5817	0.87980
362	22100	1.6175	0.84336	0.0000	0.00000	1.5818	0.87960
363	22142	1.6209	0.83916	0.0000	0.00000	1.5827	0.87850
364	22185	1.6202	0.84030	0.0000	0.00000	1.5850	0.87580
365	22227	1.6188	0.84178	0.0000	0.00000	1.5828	0.87770
366	22270	1.6211	0.83902	0.0000	0.00000	1.5833	0.87790
367	22312	1.6203	0.83988	0.0000	0.00000	1.5816	0.87980
368	22354	1.6186	0.84216	0.0000	0.00000	1.5866	0.87370
369	22397	1.6170	0.84350	0.0000	0.00000	1.5797	0.88150
370	22439	1.6172	0.84356	0.0000	0.00000	1.5790	0.88170
371	22482	1.6163	0.84414	0.0000	0.00000	1.5832	0.87730
372	22524	1.6157	0.84508	0.0000	0.00000	1.5802	0.87950
